,genename,Sample_46-Belz_merged,Sample_46-HIF1alpha_278_299,Sample_46-HIF2alpha_266_311,Sample_46-WT_207_370,Sample_55-Belz_242_335,Sample_55-HIF1alpha_230_347,Sample_55-HIF2alpha_218_359,Sample_55-WT_254_323,Sample_59-Belz_194_383,Sample_59-HIF1alpha_277_300,Sample_59-HIF2alpha_265_312,Sample_59-WT_206_371,Sample_60-Belz_241_336,Sample_60-HIF1alpha_229_348,Sample_60-HIF2alpha_217_360,Sample_60-WT_253_324,LRS_36_HIF1a_KO_327_250,LRS_36_HIF2a_KO_315_262,LRS_36_NC_303_274,LRS_36_NT_339_238,LRS_38_HIF1a_KO_374_203,LRS_38_NC_350_227,LRS_38_NT_291_286,LRS_42_HIF1a_KO_326_251,LRS_42_HIF2a_KO_314_263,LRS_42_NC_302_275,LRS_42_NT_338_239,LRS_43_HIF1a_KO_373_204,LRS_43_HIF2a_KO_361_216,LRS_43_NC_349_228,LRS_43_NT_290_287,LRS-38_HIF2a_KO_362_215
16246,AL353997.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16247,AL353997.2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0
16248,AL353997.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0
16249,AL353997.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16250,AL353997.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16251,AL353997.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16252,AL354674.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16253,AL354676.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16254,AL354685.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16255,AL354685.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16256,AL354692.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16257,AL354694.1,4,4,2,2,0,3,3,1,2,2,1,2,0,4,0,1,32,11,14,21,7,4,4,10,5,5,10,7,12,30,20,5
16258,AL354695.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16259,AL354696.1,5,4,6,6,4,1,4,2,3,4,5,0,0,4,4,2,48,17,10,30,14,13,12,7,10,12,16,6,6,12,10,11
16260,AL354696.2,30.25,14.27,17.18,20.44,13.12,10.1,16.12,20.12,12.24,7.06,17.16,6.11,17.1,12,2.03,7.08,148,100,80.34,180.19,37.08,54,52,36,70,52,64.35,57,50,62,62,48
16261,AL354702.1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,3,1,0,2,0,1,1,1,2,0,0,1,1
16262,AL354702.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16263,AL354704.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16264,AL354707.1,175.74,7,67.53,72,134.32,8,67.88,88,119.31,4,121,101.32,108,3,102,137,268,603,422,1019,236,400,596,92,324.91,259,382,37,346,390,478,663
16265,AL354707.2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,1
16266,AL354707.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
16267,AL354710.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
16268,AL354710.2,0,1,0,1,0,0,0,0,0,3,2,0,0,0,0,0,1,0,2,3,0,1,0,1,3,0,0,0,0,0,3,0
